codigo,codigo_barra,descricao,desc_unidade
100,100,QJ BRIE 1KG CRUZILIA ,Quilograma
198,198,"BISNAGA CABECA DANTA 1,8 COM AMIDO",UNIDADE
151,151,QJ ESTEPE 7.0KG CRUZILIA ,Quilograma
82,82,QJ PROVOLONE PALITO CRUZILIA 300g ,Quilograma
106,106,MUS BUFALA POTE 300G PURINHO ,UNIDADE
107,107,MUS BUFALA BARRA LANCHE PURINHO 500g ,Quilograma
79,79,QJ GORGONZOLA 3.0KG CRUZILIA ,Quilograma
71,71,QJ MUSS TRANÇA OREGANO FRAÇÃO 300G CRUZILIA ,Quilograma
159,159,DOCE DE LEITE EM SACHÊ 1.5KG SOUVENIR ,UNIDADE
9,9,BALDE CABEÇA DANTA ,UNIDADE
207,207,"DOCE DE LEITE CHOC 9,8KG OURO FINO Souvenir",UNIDADE
89,89,QJ GOUDA 3.0KG CRUZILIA ,Quilograma
117,117,QJ DAMBO A LENDA 4KG ,Quilograma
56,56,MUSS BOM JARDIM MINI- BOLA 300g ,Quilograma
88,88,QJ PROVOLONE PIMENTA FRAÇÃO CRUZILIA 200g ,Quilograma
194,194,DOCE DE LEITE PASTOSO COCO BALDE 4.8KG SOUVENIR ,UNIDADE
52,52,DOCE DE LEITE PADRAO PCT 500g Leite de curral,UNIDADE
116,116,QJ AZUL DAM/NOZES SANTO CASAMENTEIRO 2KG ,Quilograma
121,121,QJ EMMENTAL 6.0kg ,Quilograma
13,13,MUÇARELA BOM JARDIM FATIAR 3.7g ,Quilograma
83,83,QJ GRUYERE PARA FATIAR CRUZILIA 3.5g ,Quilograma
139,139,TABLETE DOCE C/AMEND- PE DE MOLEQUE Souvenir,UNIDADE
112,112,QJ MUSS TRANÇA PIMENTA FRAÇÃO 200g ,Quilograma
113,113,MUSSARELA FATIAR ALEGRETE 4kg ,Quilograma
39,39,MUSS TRANÇA PARM TEMP 400g ,Quilograma
214,214,RICOTA FRESCA 400G ENTRE RIOS,Quilograma
51,51,MUSS PARMURICO BOLA 400g ,Quilograma
54,54,MANTEIGA BARRA 3KG ,Quilograma
217,217,"BALDE REQUEIJAO 3,6G ENTRE RIOS",UNIDADE
162,162,REQUEIJAO CABEÇA DANTA RAPA 500G ,Quilograma
23,23,REQ COPO LIGHT ALEGRETE 200g ,UNIDADE
27,27,QJ PADRAO SALDANHA 500g ,Quilograma
161,161,DOCE DE LEITE PASTOSO BALDE 4.8KG SOUVENIR ,UNIDADE
18,18,BISNAGUINHA GOURMET 250g ,UNIDADE
213,213,MANTEMIX POTE 500GR SABOR DA SERRA,UNIDADE
68,68,QJ FRESCAL ZERO LACTOSE CRUZILIA 500g ,Quilograma
25,25,QJ TRUFADO ALEGRETE 500g ,Quilograma
206,206,"DOCE DE LEITE PASTOSO 9,8KG OURO FINO Souvenir",UNIDADE
185,185,DOCE DE LEITE CHOC 9.8KG SOUVENIR ,UNIDADE
193,193,DOCE DE LEITE PASTOSO BRANCO 4.8 KG Souvenir,UNIDADE
205,205,"DOCE DE LEITE COCO BALDE 9,8kg Souvenir",UNIDADE
14,14,BISNAGA ALEGRETE 1.8G ,UNIDADE
99,99,QJ PADRAO IORBOM 500g ,Quilograma
163,163,DOCE DE LEITE CHOC BALDE 4.8KG SOUVENIR ,UNIDADE
87,87,QJ PROVOLONE OREGANO FRAÇÃO CRUZILIA 300g ,Quilograma
85,85,QJ CAMEMBERT 280G CRUZILIA ,Quilograma
176,176,CREME DE RICOTA 150G LIGHT ,UNIDADE
69,69,QJ GOUDA PRA FATIAR CRUZILIA 3.5g ,Quilograma
174,174,CREME DE RICOTA 150g SABOR DA SERRA,UNIDADE
64,64,QJ PADRAO PUROLEITE 500g ,Quilograma
50,50,RICOTA ALEGRETE 400g ,Quilograma
93,93,QJ AZUL DE MINAS 3 KG CRUZILIA ,Quilograma
147,147,MUS BUFALA MANTA PURINHO 400g ,Quilograma
130,130,DOCE DE LEITE C/ COCO ,UNIDADE
98,98,BISNAGA VEREDA GOURMET 1.5g ,UNIDADE
149,149,CREME DE LEITE MOCAMBO 500KG PASTEURIZADO ,UNIDADE
55,55,MUSS BOLA BJ TEMP 300g ,Quilograma
133,133,TABLETE AMENDOIM TIPO PÉ DE MOLEQUE ,UNIDADE
109,109,MUS BUFALA MEIA CURA PURINHO 400g ,Quilograma
134,134,TABLETE DOCE COCADA BRANCA ,UNIDADE
216,216,MANTEIGA 500G ENTRE RIOS,UNIDADE
188,188,MIST REQUEIJAO FORNO E FOGAO (POTE 420G) -VEREDA,UNIDADE
168,168,REQ COPO TRAD 200G MARÍLIA ,UNIDADE
184,184,MUSSARELA MARILIA FATIAR 3KG ,Quilograma
167,167,REQ COPO LIGHT 200G MARILIA ,UNIDADE
192,192,IOGURTE AMEIXA- IORBOM- 135ML ,UNIDADE
186,186,QJ TILSIT C KUMMEL FRACIONADO ,Quilograma
143,143,QJ EMMENTAL 13KG ,Quilograma
126,126,DOCE DE LEITE C/ ABACAXI ,UNIDADE
127,127,DOCE DE LEITE C/ AMENDOIM ,UNIDADE
128,128,DOCE DE LEITE C/ CAFE ,UNIDADE
129,129,DOCE DE LEITE C/ CHOCOLATE ,UNIDADE
131,131,DOCE DE LEITE C/ LIMÃO ,UNIDADE
145,145,QJ MEIA CURA VERTENTES DE MINAS 600g PUROLEITE,Quilograma
180,180,DOCE DE LEITE C/COCO E CHOC VD 700G Souvenir,UNIDADE
179,179,DOCE DE LEITE C/MORANGO VD 700G Souvenir,UNIDADE
177,177,DOCE LEITE VD 700G Souvenir,UNIDADE
183,183,MIST. REQUEIJAO FORNO E FOGAO (POTE 420 G) -VEREDA,UNIDADE
182,182,MIST. REQUEIJAO ISADORA (COPO 250 G) ,UNIDADE
178,178,DOCE DE LEITE C/MARACURÁ VD 700G Souvenir,UNIDADE
187,187,MIST REQUEIJAO ISADORA (COPO 250G) ,UNIDADE
123,123,DOCE AMENDOIM TIPO PÉ DE MOLEQUE ,UNIDADE
124,124,DOCE COCADA BRANCA ,UNIDADE
45,45,QJ MINAS FRESCAL ZERO LACTOSE 500g ,Quilograma
105,105,QJ PRATO FATIAR 2Kg ENTRE RIOS,Quilograma
156,156,BISNAGUINHA VEREDA GOURMET 400G ,UNIDADE
91,91,"QJ PRATO ESFERICO CRUZILIA 1,8g",Quilograma
125,125,DOCE COCADA MORENA ,UNIDADE
166,166,QJ PADRAO MEIO 500g MARILIA ,Quilograma
